blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
64,158.459869,0,NaN,0.102896
32,158.587799,32,158.587799,0.002892
96,158.971588,64,158.971588,0.037832
64,158.971588,0,NaN,0.051300
64,159.227448,0,NaN,0.043230
64,159.483307,0,NaN,0.034804
64,159.739166,0,NaN,0.029351
64,159.995026,0,NaN,0.049532
64,160.251862,0,NaN,0.029672
64,160.507721,0,NaN,0.102743
64,160.763580,0,NaN,0.047953
64,161.019440,0,NaN,0.053797
64,161.275299,0,NaN,0.051490
64,161.531158,0,NaN,0.033916
64,161.787018,0,NaN,0.032340
64,162.043854,0,NaN,0.041247
64,162.299713,0,NaN,0.061346
64,162.555573,0,NaN,0.066835
64,162.811432,0,NaN,0.049260
64,163.067291,0,NaN,0.041789
64,163.323151,0,NaN,0.050055
64,163.579010,0,NaN,0.066472
64,163.835846,0,NaN,0.084039
64,164.091705,0,NaN,0.044191
