Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
152813.0781,162206.2969,152439.8750,158967.5938,187500.0000,187500.0000,187500.0000,187500.0000,150393.2344,150216.9219,158514.1563,155041.1719,187500.0000,171531.2188,187500.0000,175238.9219,158535.4688,157864.8281,137206.9219,187500.0000,187500.0000,187500.0000,28.287109,NaN,NaN,NaN
153123.3750,164093.5625,152236.1094,159696.0938,187500.0000,187500.0000,187500.0000,187500.0000,150122.5313,150032.3750,158178.0625,155223.1406,187500.0000,171525.0000,187500.0000,175273.5469,158825.3281,158070.1875,137169.5938,187500.0000,187500.0000,187500.0000,28.291107,NaN,NaN,NaN
153515.5469,166594.6719,151968.2031,160743.9219,187500.0000,187500.0000,187500.0000,187500.0000,149769.0469,149833.6563,157734.4375,155493.4844,187500.0000,171535.1250,187500.0000,175397.7969,159190.2344,158335.4531,137193.9219,187500.0000,187500.0000,187500.0000,28.295105,NaN,NaN,NaN
153043.7969,163838.7969,152229.0156,159623.5000,187500.0000,187500.0000,187500.0000,187500.0000,150131.7188,150050.2969,158188.5938,155202.7344,187500.0000,171533.5781,187500.0000,175309.6719,158766.0156,158028.5000,137204.5469,187500.0000,187500.0000,187500.0000,28.299103,NaN,NaN,NaN
152755.6406,162108.0156,152394.1719,158888.3125,187500.0000,187500.0000,187500.0000,187500.0000,150360.4688,150185.5156,158476.8281,155015.1094,187500.0000,171532.4844,187500.0000,175230.9375,158499.9219,157830.3125,137170.2188,187500.0000,187500.0000,187500.0000,28.303101,NaN,NaN,NaN
153064.6094,163978.2656,152194.9063,159611.5469,187500.0000,187500.0000,187500.0000,187500.0000,150093.7188,150015.7188,158146.8125,155196.7813,187500.0000,171526.9688,187500.0000,175267.9375,158782.0469,158029.0625,137128.3125,187500.0000,187500.0000,187500.0000,28.307098,NaN,NaN,NaN
153481.9531,166599.6094,151911.7500,160676.5000,187500.0000,187500.0000,187500.0000,187500.0000,149717.6406,149777.7813,157679.2188,155462.5000,187500.0000,171521.9844,187500.0000,175355.5781,159171.6406,158308.7969,137119.4063,187500.0000,187500.0000,187500.0000,28.311096,NaN,NaN,NaN
152988.0938,163764.2031,152178.8906,159552.3594,187500.0000,187500.0000,187500.0000,187500.0000,150092.5781,150028.0313,158146.0938,155173.9844,187500.0000,171531.3750,187500.0000,175301.6250,158725.2500,157989.3438,137159.2656,187500.0000,187500.0000,187500.0000,28.315094,NaN,NaN,NaN
152691.8906,162006.6875,152341.3438,158802.9688,187500.0000,187500.0000,187500.0000,187500.0000,150319.8750,150151.6094,158433.2500,154978.9688,187500.0000,171527.1875,187500.0000,175216.7500,158458.0156,157791.2656,137127.2344,187500.0000,187500.0000,187500.0000,28.319092,NaN,NaN,NaN
153000.9531,163859.4219,152147.2969,159520.3906,187500.0000,187500.0000,187500.0000,187500.0000,150060.0781,149985.2031,158110.0469,155161.6094,187500.0000,171525.2031,187500.0000,175256.2969,158740.0781,157990.6406,137088.2656,187500.0000,187500.0000,187500.0000,28.323090,NaN,NaN,NaN
153428.4531,166498.5000,151872.2031,160597.6406,187500.0000,187500.0000,187500.0000,187500.0000,149689.9844,149764.3438,157650.0625,155436.7344,187500.0000,171526.7031,187500.0000,175352.6875,159132.5000,158272.4531,137080.4688,187500.0000,187500.0000,187500.0000,28.327087,NaN,NaN,NaN
153397.1719,166422.1719,151864.7500,160587.7500,187500.0000,187500.0000,187500.0000,187500.0000,149689.5313,149763.7031,157647.1406,155430.2656,187500.0000,171528.7969,187500.0000,175373.7031,159114.8281,158263.1563,137111.0469,187500.0000,187500.0000,187500.0000,28.331085,NaN,NaN,NaN
152935.4063,163692.5625,152130.5000,159483.0625,187500.0000,187500.0000,187500.0000,187500.0000,150056.2813,149994.1406,158105.1406,155148.4531,187500.0000,171532.0156,187500.0000,175293.7969,158693.1406,157957.8125,137121.7344,187500.0000,187500.0000,187500.0000,28.335083,NaN,NaN,NaN
152640.8125,161918.0000,152301.3594,158731.6250,187500.0000,187500.0000,187500.0000,187500.0000,150291.5781,150135.0469,158402.2969,154957.9063,187500.0000,171531.6875,187500.0000,175214.5625,158421.0625,157755.4844,137088.5625,187500.0000,187500.0000,187500.0000,28.339081,NaN,NaN,NaN
152936.7500,163739.5469,152100.0625,159430.9375,187500.0000,187500.0000,187500.0000,187500.0000,150025.7031,149952.1563,158073.0000,155129.2344,187500.0000,171522.2813,187500.0000,175243.2188,158698.2500,157950.8125,137047.8125,187500.0000,187500.0000,187500.0000,28.343079,NaN,NaN,NaN
