Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
5343.4302,5343.4302,6332.9419,3632.9854,-1767.3301,-373.9000,5304.6050,6335.8027,3624.5811,-1786.7313,-408.4111,5277.7383,6345.7939,3720.0901,-1709.4838,-462.9493,5248.4575,6346.6660,3706.0308,-1730.1591,-489.1902,5230.4868,3771.476807
-1681.3652,-529.7587,5201.6753,6358.3779,3808.6924,-1645.0884,-560.4923,6358.2441,3844.1199,-1620.3003,-590.1978,5150.7358,6364.9048,3868.9973,-658.8176,5109.5190,3910.4153,-1573.7863,-681.8176,5090.6318,6366.9614,3898.6582,-1597.836792
5059.7417,6382.1606,3977.2915,-1516.2753,-758.7747,5033.4341,6377.9360,3977.2468,-1534.2684,-768.4753,-768.4753,-768.4753,5019.9111,5019.9111,6390.9893,6390.9893,4062.8987,4062.8987,3658.8687,3658.8687,3781.3787,3612.1311,3222.875488
3201.4626,3661.8638,3779.1658,3610.3430,3221.8027,3214.8289,3653.8171,3784.6865,3612.9583,3150.1653,3082.3726,3650.2632,3780.7527,3617.4731,3213.7561,3170.9077,3655.3594,3610.9241,3173.4558,3085.6357,3645.6365,3784.6865,3619.552002
3243.0144,3183.0000,3778.8528,3620.9377,3266.6179,3189.3257,3641.0991,3782.6526,3614.7017,3165.5881,3635.2429,3624.1565,3232.3975,3159.2178,3637.7463,3775.7905,3619.1497,3215.3430,3633.5889,3787.6594,3623.3071,3207.8774,3088.809814
3626.7939,3778.4729,3630.2361,3243.7522,3138.0955,3138.0955,3138.0955,3630.7949,3630.7949,3785.8489,3785.8489,3627.8667,3627.8667,3963.3665,3963.3665,4084.4683,3578.6260,1624.4130,2371.0505,3968.2615,4083.3284,3596.9097,1690.663574
2369.6423,3959.7678,4089.4526,3600.0166,1597.8368,2242.5728,3957.6667,4085.4741,3627.4868,1734.4506,2315.5959,3958.5161,3599.1672,1617.7969,2221.6292,3949.1956,4090.5479,3622.6365,1719.1620,2267.2937,4085.6306,3618.0320,1721.106567
2265.1479,3936.4551,4089.2068,3628.9397,2229.2512,3926.5085,3642.4402,1715.5857,2236.3813,3932.3198,4084.4905,3635.4216,1732.7295,3925.8157,4097.1865,3664.2778,1754.7460,2112.4187,3915.7795,4087.9998,3661.2827,1793.4816,2173.908203
2173.9082,2173.9082,3917.8359,3917.8359,4095.3088,4095.3088,3659.7405,3659.7405,2567.7236,2567.7236,1324.0278,3145.9409,4038.6248,3887.1470,2560.5710,1330.2417,3114.2236,4042.5811,3891.6843,2478.6743,1272.9766,3144.3540,4037.082520
3907.8447,2608.2026,1317.4341,3026.5603,4034.9143,3908.1353,2588.9802,3091.3804,4039.9883,3918.2607,2630.7109,1298.0552,3047.4143,4023.1128,3914.3713,1347.6090,3066.7485,4031.6511,3913.0303,2623.3572,1333.5050,3061.4736,3919.221680
2665.1548,2956.6440,4023.5151,3921.5911,2682.8574,1336.3661,3013.7527,4025.5044,2627.2017,1179.2333,2950.5420,4016.6978,3939.3831,2735.5852,1372.0841,3004.4319,4019.9834,3933.6387,3933.6387,3933.6387,2743.0730,2743.0730,1333.236816
1333.2368,2977.5205,2977.5205,61816.8320,61816.8320,61866.3633,61747.4531,61539.8477,61624.6055,61817.2344,61860.5508,61744.1680,61542.7109,61617.1875,61807.7344,61861.8242,61739.8750,61534.4609,61619.2188,61803.3320,61853.4453,61740.6328,61529.746094
61606.0313,61803.8672,61730.7539,61532.8750,61608.2461,61793.6523,61848.4141,61733.4609,61519.3984,61595.5039,61838.6484,61730.4180,61521.6992,61588.0820,61783.1914,61837.4414,61720.1602,61583.7031,61772.3516,61726.6406,61512.3789,61578.7188,61774.675781
61822.7344,61716.7852,61514.2109,61766.6953,61830.1328,61716.0938,61501.4023,61571.9453,61762.6953,61815.6250,61717.9492,61505.7617,61558.4023,61558.4023,61558.4023,61759.2969,61759.2969,61817.9922,61817.9922,61709.0078,61709.0078,69505.5625,69505.562500
68822.1563,69925.3281,71465.2500,71206.2188,69518.8438,68815.9453,69911.3125,71462.3047,71209.8359,69521.1016,68813.5313,69890.5234,71444.7969,71220.5938,69525.8594,68803.0000,69877.6719,71432.2188,71219.6719,69538.9766,69854.4766,71427.1875,71231.007813
69540.2109,68794.5547,69842.7813,71406.6875,71230.4453,68785.2969,69828.2578,71400.7891,71232.9766,69552.5703,68779.4219,69801.6797,71235.8984,69553.0156,69796.1328,71375.9141,71245.4922,69569.7344,68765.2734,69774.1641,71368.0703,69571.6797,68768.289063
69756.7969,71345.1328,71255.3281,69578.8750,68753.8516,69746.4063,71341.8047,71253.5625,71253.5625,71253.5625,69588.6016,69588.6016,68755.4609,68755.4609,69723.9844,69723.9844,98333.0078,98333.0078,98250.3516,98341.9531,98462.3828,98472.3047,98333.320313
98243.2188,98335.0859,98461.8906,98465.8672,98324.8750,98242.3984,98327.5078,98452.0781,98468.2813,98321.7188,98233.3906,98323.4844,98444.3906,98456.5000,98321.9453,98310.6328,98444.4766,98459.1406,98313.6719,98225.3828,98309.4297,98429.1250,98447.250000
98214.7500,98302.9219,98428.2734,98440.9922,98304.1563,98211.6172,98289.5391,98436.9922,98294.9453,98291.4766,98414.1719,98432.8359,98296.9141,98195.0078,98278.5156,98412.1563,98290.0234,98199.6172,98273.5078,98397.0703,98426.5313,98286.6953,98185.242188
98271.5000,98398.1875,98414.5938,98414.5938,98414.5938,98284.1953,98284.1953,98186.0234,98186.0234,98260.0547,98260.0547,85441.8438,85441.8438,84647.0625,85764.3359,87396.1641,87203.6328,85452.6172,84638.4531,85746.2734,87390.0625,87205.7969,85454.585938
84636.6172,85726.4063,87372.8281,87217.0625,85461.1797,84625.6016,85710.4844,87357.5625,87213.3750,85471.9688,85685.4297,87350.5938,87224.2813,85473.8047,84614.8984,85672.0000,87327.5938,87220.2813,84602.8906,85653.6719,87319.1641,87222.0938,85484.398438
84598.6484,85628.4141,87225.4219,85485.5625,85618.9141,87289.8359,87229.6016,85498.5938,84580.9844,85594.3906,87280.0703,85502.0781,84584.8984,85577.5391,87257.1406,87238.8750,85509.4766,84569.6328,85563.6797,87250.3438,87234.3828,87234.3828,87234.382813
85517.0781,85517.0781,84569.4531,84569.4531,85538.9141,85538.9141,6363.6753,6363.6753,8803.5029,4715.9048,-1752.1309,-577.9937,6297.6934,8807.2803,4738.3687,-1748.5099,-599.2949,6262.8691,8818.5674,4830.9492,-1691.8929,-668.9653,6212.041504
8819.8418,4847.4004,-1689.5459,-679.9624,6187.3647,4911.5273,-1658.5217,-718.1392,6145.3882,8832.6494,4969.3291,-1612.5442,-702.8282,8829.6768,5013.6079,-1589.3878,-789.5530,6062.1060,8836.1133,5054.6011,-802.8300,6028.4663,5111.978027
-1535.6989,-863.3585,5979.0688,8835.9346,5129.4121,-1534.5143,5935.0137,8852.7881,5209.4092,-1471.5494,-943.1765,5891.4502,8843.8701,5234.7114,-1469.6719,-975.4525,-975.4525,-975.4525,5850.4126,5850.4126,8850.2402,8850.2402,5292.848145
5292.8481,313.4385,313.4385,-2179.6079,1486.2345,3904.2461,3671.0281,396.8329,-2189.9568,1436.3007,3915.5562,3682.5840,365.5404,-2185.4863,1471.2588,3905.1626,3706.7239,408.1429,-2260.7671,1392.1560,3907.8894,3707.5061,513.218384
1317.5012,3903.9556,3727.8015,518.4263,-2263.3823,1304.0677,3885.5376,3724.6052,-2234.9285,1257.0173,3883.9285,3716.8044,528.3505,-2249.6582,1222.6627,3737.0327,576.4291,1237.3701,3868.9526,3750.4661,676.0955,-2227.1055,1187.145752
3876.4854,639.9751,-2272.7700,1220.0029,3857.4639,3777.1318,728.5327,-2286.6951,1090.4521,3861.0850,3760.6584,3760.6584,3760.6584,759.2888,759.2888,-2281.1072,-2281.1072,1044.3629,1044.3629,3900.3345,3900.3345,4537.4263,2916.433105
-1693.7927,-376.0010,3868.7739,4535.5713,2890.3933,-1704.0969,-392.3625,3856.4358,4541.8296,2988.0034,-1630.3138,-416.4353,3841.5049,4540.2651,2958.8792,-1638.4275,-430.2040,3839.7612,3018.4019,-1600.2731,-419.1846,3833.6370,4547.730469
3054.7681,-1571.5287,-546.1202,4542.6118,3078.6396,-1545.9584,-548.8247,3785.2454,4546.6577,3104.4336,-638.5223,3752.8577,3126.8525,-1503.2888,-631.8615,3745.5042,4540.5332,3077.1646,-1569.6959,3731.4895,4554.4360,3181.1001,-1422.979004
