Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventTime,EventFile
191.5321,-145.8675,404.9465,-291.5785,52062.7539,51241.1055,65914.7344,43060.0547,1472.4882,3282.3982,1095.6378,2892.4497,66405.4453,53695.4375,47682.9766,44111.3438,2911.4041,3853.9099,3534.6377,32754.0449,42095.6211,44463.8555,91.519531,NaN,NaN,NaN
3730.8860,3459.3569,3581.2859,3219.2100,52049.9258,51053.9531,66047.7969,41649.9258,3270.3953,2951.6372,3896.6465,3433.3396,66615.0391,53683.9258,47798.1094,42611.6328,3505.3345,1775.5778,3293.7754,33152.0156,41223.5234,44600.8047,91.523529,NaN,NaN,NaN
3002.0403,2727.0916,2765.3801,2650.0452,52021.6719,51132.6328,66028.2109,41927.6484,3077.4998,3059.6409,3318.2505,3406.6741,66558.2813,53698.4766,47773.6797,42942.8164,3441.1404,1961.5667,3352.2026,33078.6797,41416.1953,44576.7969,91.527527,NaN,NaN,NaN
-1605.7716,-1795.9403,-1747.3699,-1714.6917,52018.2734,51369.6953,65893.8984,43458.6055,-57.4887,3470.4434,-1023.6204,2084.6130,66324.6172,53727.1992,47653.3359,44605.7891,1773.6779,4126.7578,3600.0613,32651.5605,42359.0352,44426.7266,91.531525,NaN,NaN,NaN
-3165.2305,-3215.4324,-3164.4258,-3296.6587,52046.0117,51433.0156,65832.3438,44108.5938,-2329.1411,3610.5889,-2945.3115,825.8969,66240.4453,53728.2031,47604.3398,45278.8867,413.8202,4708.9985,3696.8889,32465.6621,42745.3398,44363.3164,91.535522,NaN,NaN,NaN
206.5972,-128.2319,393.6813,-269.8526,52058.9531,51236.7227,65911.1094,43057.8164,1487.1285,3275.7822,1071.7885,2926.8044,66401.1094,53691.7500,47678.6367,44108.1250,2934.6274,3861.1072,3533.8555,32750.8027,42095.3516,44462.3789,91.539520,NaN,NaN,NaN
3726.0803,3455.7583,3574.7815,3217.2876,52043.1953,51047.7188,66041.4922,41644.8750,3264.4946,2938.6284,3889.0247,3426.2988,66608.5078,53678.1602,47791.6719,42605.7539,3503.3677,1694.3516,3291.5847,33147.4141,41221.9336,44598.0078,91.543518,NaN,NaN,NaN
3045.7380,2782.5908,2823.2935,2700.9177,52025.1602,51135.2891,66030.8984,41930.3945,3100.9468,3072.4707,3345.9219,3413.5583,66559.7578,53700.0195,47775.9375,42946.2148,3442.9731,1831.6136,3348.2913,33073.0469,41412.2813,44572.7070,91.547516,NaN,NaN,NaN
-1512.4755,-1692.6305,-1638.7405,-1625.9329,52016.1055,51366.4961,65891.9531,43455.9023,45.6870,3465.6379,-963.1813,2204.2395,66322.5859,53725.3203,47651.1445,44602.3008,1947.8875,4131.1836,3615.8640,32650.2656,42358.9453,44426.9727,91.551514,NaN,NaN,NaN
284.5601,-37.2604,444.3080,-188.9840,52065.1250,51242.4688,65916.2500,43065.0586,1372.1512,3293.0601,1014.1880,2818.5103,66404.8438,53695.5273,47683.5352,44116.2852,2805.1438,3860.6826,3532.5366,32746.0859,42093.8320,44459.4492,91.555511,NaN,NaN,NaN
3739.2456,3471.6729,3584.2139,3230.5869,52042.2344,51045.5273,66040.3281,41644.3828,3262.2371,2939.2095,3886.5435,3423.6836,66606.5859,53676.1914,47789.8398,42604.6367,3500.1936,1821.1306,3290.1321,33143.2773,41220.0117,44595.6641,91.559509,NaN,NaN,NaN
2992.0491,2722.0847,2753.4443,2630.6438,52014.7422,51124.8516,66021.4219,41920.7383,3054.9917,3051.6165,3284.4324,3405.6458,66550.3750,53690.8086,47766.1914,42934.9297,3437.5417,1953.6095,3345.3408,33067.9961,41408.9961,44569.5117,91.563507,NaN,NaN,NaN
-1614.0417,-1794.6215,-1760.5798,-1756.7577,52018.4961,51368.5313,65893.8594,43458.0273,-46.4022,3475.3608,-1093.8273,2170.1531,66323.4609,53725.9492,47652.6445,44604.8047,1832.0830,4122.9805,3597.3342,32644.6328,42354.9453,44423.0195,91.567505,NaN,NaN,NaN
-3158.9719,-3208.4587,-3158.5024,-3289.0366,52042.1445,51428.8828,65828.9688,44106.8516,-2343.0662,3602.2292,-2943.5459,863.4702,66236.6641,53724.9648,47600.7891,45276.2266,496.0746,4708.0146,3697.7383,32461.3262,42745.6328,44362.7109,91.571503,NaN,NaN,NaN
208.9441,-112.0493,391.9155,-235.7215,52057.3438,51234.9141,65909.4844,43059.7617,1447.5659,3272.6753,1069.9332,2884.8054,66398.7188,53689.8945,47676.7852,44109.2891,2915.2932,3857.4417,3533.2295,32745.6621,42096.6719,44461.3750,91.575500,NaN,NaN,NaN
3732.8752,3467.2249,3579.4753,3230.1174,52048.7617,51052.0313,66046.5859,41651.7148,3268.8977,2949.0891,3893.6514,3431.0820,66612.0859,53681.7813,47796.1406,42612.0586,3504.8428,1706.9580,3293.3953,33144.5977,41224.3711,44599.2383,91.579498,NaN,NaN,NaN
3011.8528,2741.2849,2776.2654,2661.0645,52021.6953,51130.7539,66027.8125,41926.8633,3081.0537,3064.8711,3319.0327,3412.4185,66555.4688,53695.8828,47771.9336,42940.9180,3447.9128,1839.8391,3347.2407,33067.8633,41410.6055,44571.1211,91.583496,NaN,NaN,NaN
-1580.1342,-1765.0948,-1721.0619,-1697.1232,52010.4492,51360.1953,65886.6172,43450.8516,14.9533,3456.9653,-1011.2599,2204.0608,66316.2578,53719.2188,47645.0664,44595.8867,1964.6289,4127.5625,3609.9185,32641.9063,42354.6094,44422.2148,91.587494,NaN,NaN,NaN
-3158.0107,-3201.8203,-3167.9797,-3286.4438,52043.8242,51430.0000,65830.4453,44109.0664,-2342.4404,3603.5706,-2976.9392,833.5189,66237.1328,53725.6328,47601.7031,45278.0156,477.4109,4707.9028,3711.6858,32459.3145,42746.3477,44362.5781,91.591492,NaN,NaN,NaN
236.3920,-59.7015,381.2314,-212.0063,52066.1289,51242.5117,65917.3906,43068.8828,1354.1357,3289.1931,960.8791,2838.0679,66405.1563,53696.6680,47683.9570,44118.6094,2829.7754,3867.1646,3534.4141,32746.1309,42099.8438,44463.6992,91.595490,NaN,NaN,NaN
3732.6519,3469.5046,3575.9661,3228.9553,52041.4297,51044.3398,66039.7656,41646.0156,3256.3137,2933.2192,3878.6533,3422.0742,66605.3359,53675.7227,47788.9453,42604.9492,3503.4570,1833.5359,3293.0376,33141.8906,41224.2813,44598.3008,91.599487,NaN,NaN,NaN
3732.6519,3469.5046,3575.9661,3228.9553,52041.4297,51044.3398,66039.7656,41646.0156,3256.3137,2933.2192,3878.6533,3422.0742,66605.3359,53675.7227,47788.9453,42604.9492,3503.4570,1833.5359,3293.0376,33141.8906,41224.2813,44598.3008,91.603485,NaN,NaN,NaN
3005.5271,2735.0488,2767.9951,2652.7944,52021.0000,51129.6367,66027.1641,41926.3711,3061.0266,3061.6970,3298.8938,3405.3999,66554.9766,53695.5703,47771.3555,42939.9141,3430.6128,1853.4736,3347.8218,33067.1484,41411.5664,44571.9922,91.607483,NaN,NaN,NaN
-1589.3655,-1774.3037,-1733.6683,-1716.0552,52017.4453,51366.0039,65893.0781,43456.6836,-24.7210,3469.0129,-1077.3317,2193.3096,66321.9375,53724.9414,47651.1914,44601.8984,1905.5532,4102.5283,3613.9194,32643.3574,42356.8906,44425.0508,91.611481,NaN,NaN,NaN
-1589.3655,-1774.3037,-1733.6683,-1716.0552,52017.4453,51366.0039,65893.0781,43456.6836,-24.7210,3469.0129,-1077.3317,2193.3096,66321.9375,53724.9414,47651.1914,44601.8984,1905.5532,4102.5283,3613.9194,32643.3574,42356.8906,44425.0508,91.615479,NaN,NaN,NaN
-3159.4861,-3210.1350,-3161.1177,-3294.8035,52038.0117,51424.2305,65825.1953,44104.6406,-2314.7913,3591.0535,-2949.8267,860.9445,66232.2188,53721.3203,47596.5391,45272.6055,576.2950,4708.5962,3723.3757,32457.9512,42747.3516,44362.9375,91.619476,NaN,NaN,NaN
175.5953,-176.0423,358.0526,-335.9020,52061.6367,51238.3984,65913.1875,43066.4922,1437.8206,3281.4373,1044.8099,2892.3826,66400.5703,53692.6641,47679.6445,44115.6367,2928.3689,3854.3123,3535.1519,32742.4219,42099.0859,44461.5078,91.623474,NaN,NaN,NaN
175.5953,-176.0423,358.0526,-335.9020,52061.6367,51238.3984,65913.1875,43066.4922,1437.8206,3281.4373,1044.8099,2892.3826,66400.5703,53692.6641,47679.6445,44115.6367,2928.3689,3854.3123,3535.1519,32742.4219,42099.0859,44461.5078,91.627472,NaN,NaN,NaN
3724.0911,3448.0247,3572.9932,3203.3401,52048.6484,51050.9570,66046.5625,41654.0391,3266.3049,2946.5410,3890.4551,3430.9702,66610.5000,53681.3320,47794.9805,42612.9492,3508.7766,1779.0647,3296.0552,33142.8750,41227.4336,44600.5781,91.631470,NaN,NaN,NaN
3005.5271,2737.5522,2770.2080,2660.9526,52019.6172,51128.0508,66026.3828,41925.6367,3063.1724,3055.0811,3307.5664,3400.3484,66553.6094,53694.5195,47770.0586,42938.0117,3438.9946,1908.8165,3350.4146,33068.0195,41413.9375,44574.0938,91.635468,NaN,NaN,NaN
-1594.6852,-1776.4496,-1736.4846,-1707.3604,52018.1641,51366.5859,65894.1484,43457.4883,-83.9084,3467.6047,-1049.9285,2136.1785,66322.6328,53725.5000,47651.9727,44602.2109,1860.1569,4118.6665,3614.4780,32643.5371,42358.3203,44426.3711,91.639465,NaN,NaN,NaN
-1594.6852,-1776.4496,-1736.4846,-1707.3604,52018.1641,51366.5859,65894.1484,43457.4883,-83.9084,3467.6047,-1049.9285,2136.1785,66322.6328,53725.5000,47651.9727,44602.2109,1860.1569,4118.6665,3614.4780,32643.5371,42358.3203,44426.3711,91.643463,NaN,NaN,NaN
-3165.2527,-3213.1301,-3163.4646,-3296.6140,52043.8672,51428.9492,65830.5313,44110.5859,-2274.7593,3602.0505,-2948.7986,861.5703,66236.7578,53725.7891,47601.3242,45278.9570,528.4623,4710.3394,3715.0386,32457.6152,42748.5820,44363.7422,91.647461,NaN,NaN,NaN
174.8130,-149.4661,368.1332,-291.7797,52057.6563,51234.0391,65909.3438,43064.8594,1470.4541,3273.1445,1046.2852,2900.7422,66396.8125,53689.3789,47675.6445,44113.3789,2931.1182,3862.1130,3532.4026,32739.8945,42099.7109,44460.6133,91.651459,NaN,NaN,NaN
3722.1240,3453.6350,3571.9426,3215.7900,52045.1172,51047.1367,66042.9688,41652.0039,3263.6899,2940.2153,3886.1411,3426.9917,66607.4609,53678.4258,47791.8047,42610.8945,3507.9497,1725.4429,3294.1777,33139.5664,41226.5156,44598.7930,91.655457,NaN,NaN,NaN
3015.3843,2746.3364,2777.5842,2667.1218,52024.0195,51131.1094,66030.0703,41929.1445,3075.8010,3065.7205,3318.4070,3407.6575,66557.0547,53697.7617,47773.6992,42942.1484,3444.2920,1854.3007,3349.7441,33066.7656,41413.4453,44573.9141,91.659454,NaN,NaN,NaN
-1578.8601,-1762.6809,-1723.6995,-1691.8929,52014.8555,51362.9883,65891.0625,43454.4727,-28.1855,3460.7876,-1026.7050,2161.0784,66319.7031,53723.0430,47649.0234,44598.7266,1937.6503,4104.8755,3614.9700,32642.0391,42358.1406,44426.0586,91.663452,NaN,NaN,NaN
-3170.6619,-3220.4170,-3152.4229,-3304.7275,52042.1016,51427.6055,65828.7891,44109.9141,-2393.1118,3599.7261,-2927.9443,746.7494,66234.8359,53724.3828,47599.8945,45278.1719,433.7132,4709.2441,3723.8899,32455.2227,42748.4023,44362.8008,91.667450,NaN,NaN,NaN
